"id","label","language","script","scientist","scientist_year"
65000047,"LUGUVVECCA MAQI[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000048,"MAQI MQ[I-...O]GGODIKA.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000049,"...] CELI AVI VU[..","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000050,"TAQMAQO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000051,"DITAV","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000052,"QRIMITIR RON[A]NN MAQ COMOGANN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000053,"LUGUQRIT MA[QI] QRITT[I]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000054,"MOINENA MAQI OLACON","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000055,"DUBONIRRAS MAQQI TENAC[I]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000056,"MQQI-QETTI MAQQI CUNITTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000057,"RENI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000058,"GRAVICAS MAQI MUCOI DOVVINIAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000059,"BROINIOAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000060,"LUBBAIS MAQQI DUN....S","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000061,"CCUCAMINI MAQQI CATTINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000062,"CUNAMAQQI CORBBI MAQQ[I MUCCOI DOVVINIA]S","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000063,"AKEVRITTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000064,"MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000065,"DOVETI MAQQi CATTINI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000066,"SUVALLOS MAQQI DUCOVAROS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000067,"MAQI - DECCEDA MAQI GLASICONAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000068,"DUNAIDONAS MAQI MARIANI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000069,"TRIA MAQA MAILAGNI CURCITTI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000070,"INISSIONAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000071,"CUNAMAQQI AVI CORBBI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000072,"NETTA-LAMINACCA KOI MAQQI MUCOI DOVIN[IA]S","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000073,"VOENACUNAS M....","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000074,"[D]DROGNO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000075,"COIMAGNI MAQI VITALIN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000076,".. [MAQ]I DROGNO MU[COI] ...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
